Month,Salesman,Manager,Product,Category, Sales, Profit
2/28/2010,Kristi Shaw,Kimberly Mack,Shirts,Cloths,"  3,245 ",  64.90 
2/28/2010,Sarah Parks,Brian Baldwin,Shirts,Cloths,"  1,894 ",  37.88 
2/28/2010,Steven Kerr,Brian Baldwin,Shirts,Cloths,"  2,388 ",  23.88 
2/28/2010,Brian Harris,Brian Baldwin,Shirts,Cloths,"  2,414 ",  48.27 
2/28/2010,Kenneth Lamb,Brian Baldwin,Shirts,Cloths,"  2,855 ",  28.55 
2/28/2010,David Torres,Kimberly Mack,Paints,Cloths,"  2,159 ",  21.59 
2/28/2010,Brenda Matthews,Kimberly Mack,Paints,Cloths,"  1,232 ",  36.96 
2/28/2010,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  3,697 ",  258.79 
2/28/2010,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,273 ",  65.46 
2/28/2010,Sarah Parks,Brian Baldwin,Paints,Cloths,"  1,863 ",  18.63 
2/28/2010,Steven Kerr,Brian Baldwin,Paints,Cloths,"  3,336 ",  166.80 
2/28/2010,Brian Harris,Brian Baldwin,Paints,Cloths,"  3,076 ",  184.55 
2/28/2010,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,852 ",  37.04 
2/28/2010,David Torres,Kimberly Mack,Hats,Accesseries,"  2,246 ",  22.46 
2/28/2010,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  3,383 ",  169.15 
2/28/2010,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,679 ",  257.54 
2/28/2010,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  3,145 ",  62.90 
2/28/2010,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,559 ",  46.77 
2/28/2010,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  3,883 ",  194.14 
2/28/2010,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,349 ",  26.98 
2/28/2010,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,175 ",  21.75 
2/28/2010,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,849 ",  38.49 
2/28/2010,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,146 ",  42.92 
2/28/2010,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,567 ",  249.70 
2/28/2010,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,619 ",  16.19 
2/28/2010,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,215 ",  22.15 
2/28/2010,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,610 ",  144.39 
2/28/2010,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  3,295 ",  65.90 
2/28/2010,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,595 ",  35.95 
3/31/2010,David Torres,Kimberly Mack,Socks,Accesseries,"  3,620 ",  36.20 
3/31/2010,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,688 ",  26.88 
3/31/2010,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,484 ",  139.36 
3/31/2010,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,421 ",  24.21 
3/31/2010,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,506 ",  30.12 
3/31/2010,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,344 ",  167.21 
3/31/2010,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,693 ",  53.87 
3/31/2010,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,804 ",  152.17 
3/31/2010,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,603 ",  36.03 
3/31/2010,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,361 ",  27.21 
3/31/2010,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,568 ",  78.42 
3/31/2010,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,596 ",  35.96 
3/31/2010,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,303 ",  99.10 
3/31/2010,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,182 ",  159.10 
3/31/2010,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,557 ",  102.30 
3/31/2010,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,094 ",  83.78 
3/31/2010,David Torres,Kimberly Mack,Jeans,Cloths,"  1,400 ",  14.00 
3/31/2010,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,035 ",  60.69 
3/31/2010,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,576 ",  77.27 
3/31/2010,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,484 ",  29.67 
3/31/2010,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,913 ",  87.38 
3/31/2010,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,787 ",  189.36 
3/31/2010,Brian Harris,Brian Baldwin,Jeans,Cloths,"  3,885 ",  233.11 
3/31/2010,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,470 ",  69.40 
3/31/2010,David Torres,Kimberly Mack,Coats,Cloths,"  1,803 ",  18.03 
3/31/2010,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,182 ",  65.46 
3/31/2010,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,035 ",  122.09 
3/31/2010,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  2,771 ",  27.71 
3/31/2010,Sarah Parks,Brian Baldwin,Coats,Cloths,"  1,961 ",  39.22 
3/31/2010,Steven Kerr,Brian Baldwin,Coats,Cloths,"  1,975 ",  98.76 
3/31/2010,Brian Harris,Brian Baldwin,Coats,Cloths,"  2,966 ",  237.27 
3/31/2010,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,176 ",  21.76 
3/31/2010,David Torres,Kimberly Mack,Sweaters,Cloths,"  2,956 ",  29.56 
3/31/2010,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,897 ",  144.85 
3/31/2010,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,  968 ,  67.75 
3/31/2010,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,905 ",  29.05 
3/31/2010,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  3,095 ",  61.89 
3/31/2010,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  3,816 ",  190.81 
3/31/2010,Brian Harris,Brian Baldwin,Sweaters,Cloths,"  1,118 ",  67.08 
3/31/2010,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  3,499 ",  139.96 
3/31/2010,David Torres,Kimberly Mack,Jackets,Cloths,"  1,319 ",  13.19 
3/31/2010,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  2,674 ",  53.48 
3/31/2010,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,086 ",  65.17 
3/31/2010,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  1,998 ",  19.98 
3/31/2010,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,098 ",  20.98 
3/31/2010,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,251 ",  162.55 
3/31/2010,Brian Harris,Brian Baldwin,Jackets,Cloths,"  3,370 ",  134.80 
3/31/2010,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,156 ",  46.26 
3/31/2010,David Torres,Kimberly Mack,Shirts,Cloths,"  2,366 ",  23.66 
3/31/2010,Brenda Matthews,Kimberly Mack,Shirts,Cloths,"  2,190 ",  87.60 
3/31/2010,Jennifer Johnson,Kimberly Mack,Shirts,Cloths,"  3,759 ",  187.95 
3/31/2010,Kristi Shaw,Kimberly Mack,Shirts,Cloths,"  3,310 ",  66.20 
3/31/2010,Sarah Parks,Brian Baldwin,Shirts,Cloths,"  1,951 ",  19.51 
3/31/2010,Steven Kerr,Brian Baldwin,Shirts,Cloths,"  2,435 ",  121.76 
3/31/2010,Brian Harris,Brian Baldwin,Shirts,Cloths,"  2,486 ",  74.58 
3/31/2010,Kenneth Lamb,Brian Baldwin,Shirts,Cloths,"  2,969 ",  59.39 
3/31/2010,David Torres,Kimberly Mack,Paints,Cloths,"  2,181 ",  21.81 
3/31/2010,Brenda Matthews,Kimberly Mack,Paints,Cloths,"  1,183 ",  59.13 
3/31/2010,Jennifer Johnson,Kimberly Mack,Paints,Cloths,"  3,845 ",  192.24 
3/31/2010,Kristi Shaw,Kimberly Mack,Paints,Cloths,"  3,207 ",  32.07 
3/31/2010,Sarah Parks,Brian Baldwin,Paints,Cloths,"  1,918 ",  19.18 
3/31/2010,Steven Kerr,Brian Baldwin,Paints,Cloths,"  3,469 ",  173.47 
3/31/2010,Brian Harris,Brian Baldwin,Paints,Cloths,"  3,230 ",  258.37 
3/31/2010,Kenneth Lamb,Brian Baldwin,Paints,Cloths,"  1,852 ",  37.04 
3/31/2010,David Torres,Kimberly Mack,Hats,Accesseries,"  2,269 ",  22.69 
3/31/2010,Brenda Matthews,Kimberly Mack,Hats,Accesseries,"  3,349 ",  100.48 
3/31/2010,Jennifer Johnson,Kimberly Mack,Hats,Accesseries,"  3,569 ",  35.69 
3/31/2010,Kristi Shaw,Kimberly Mack,Hats,Accesseries,"  3,114 ",  31.14 
3/31/2010,Sarah Parks,Brian Baldwin,Hats,Accesseries,"  1,575 ",  31.49 
3/31/2010,Steven Kerr,Brian Baldwin,Hats,Accesseries,"  3,689 ",  184.43 
3/31/2010,Brian Harris,Brian Baldwin,Hats,Accesseries,"  1,443 ",  57.74 
3/31/2010,Kenneth Lamb,Brian Baldwin,Hats,Accesseries,"  2,131 ",  85.25 
3/31/2010,David Torres,Kimberly Mack,Pajamas,Cloths,"  3,888 ",  38.88 
3/31/2010,Brenda Matthews,Kimberly Mack,Pajamas,Cloths,"  2,082 ",  104.08 
3/31/2010,Jennifer Johnson,Kimberly Mack,Pajamas,Cloths,"  3,496 ",  209.75 
3/31/2010,Kristi Shaw,Kimberly Mack,Pajamas,Cloths,"  1,619 ",  16.19 
3/31/2010,Sarah Parks,Brian Baldwin,Pajamas,Cloths,"  2,238 ",  44.75 
3/31/2010,Steven Kerr,Brian Baldwin,Pajamas,Cloths,"  3,574 ",  178.68 
3/31/2010,Brian Harris,Brian Baldwin,Pajamas,Cloths,"  3,526 ",  70.51 
3/31/2010,Kenneth Lamb,Brian Baldwin,Pajamas,Cloths,"  3,667 ",  146.66 
4/30/2010,David Torres,Kimberly Mack,Socks,Accesseries,"  3,620 ",  36.20 
4/30/2010,Brenda Matthews,Kimberly Mack,Socks,Accesseries,"  2,635 ",  105.39 
4/30/2010,Jennifer Johnson,Kimberly Mack,Socks,Accesseries,"  3,693 ",  36.93 
4/30/2010,Kristi Shaw,Kimberly Mack,Socks,Accesseries,"  2,373 ",  47.46 
4/30/2010,Sarah Parks,Brian Baldwin,Socks,Accesseries,"  1,506 ",  15.06 
4/30/2010,Steven Kerr,Brian Baldwin,Socks,Accesseries,"  3,177 ",  63.54 
4/30/2010,Brian Harris,Brian Baldwin,Socks,Accesseries,"  2,478 ",  24.78 
4/30/2010,Kenneth Lamb,Brian Baldwin,Socks,Accesseries,"  3,804 ",  152.17 
4/30/2010,David Torres,Kimberly Mack,Shorts,Accesseries,"  3,567 ",  35.67 
4/30/2010,Brenda Matthews,Kimberly Mack,Shorts,Accesseries,"  1,293 ",  12.93 
4/30/2010,Jennifer Johnson,Kimberly Mack,Shorts,Accesseries,"  1,568 ",  31.37 
4/30/2010,Kristi Shaw,Kimberly Mack,Shorts,Accesseries,"  3,632 ",  72.63 
4/30/2010,Sarah Parks,Brian Baldwin,Shorts,Accesseries,"  3,270 ",  98.11 
4/30/2010,Steven Kerr,Brian Baldwin,Shorts,Accesseries,"  3,246 ",  162.28 
4/30/2010,Brian Harris,Brian Baldwin,Shorts,Accesseries,"  2,378 ",  23.78 
4/30/2010,Kenneth Lamb,Brian Baldwin,Shorts,Accesseries,"  2,011 ",  20.11 
4/30/2010,David Torres,Kimberly Mack,Jeans,Cloths,"  1,414 ",  14.14 
4/30/2010,Brenda Matthews,Kimberly Mack,Jeans,Cloths,"  3,004 ",  90.12 
4/30/2010,Jennifer Johnson,Kimberly Mack,Jeans,Cloths,"  2,601 ",  130.07 
4/30/2010,Kristi Shaw,Kimberly Mack,Jeans,Cloths,"  1,469 ",  29.38 
4/30/2010,Sarah Parks,Brian Baldwin,Jeans,Cloths,"  2,942 ",  29.42 
4/30/2010,Steven Kerr,Brian Baldwin,Jeans,Cloths,"  3,863 ",  154.52 
4/30/2010,Brian Harris,Brian Baldwin,Jeans,Cloths,"  3,652 ",  219.13 
4/30/2010,Kenneth Lamb,Brian Baldwin,Jeans,Cloths,"  3,435 ",  103.06 
4/30/2010,David Torres,Kimberly Mack,Coats,Cloths,"  1,821 ",  18.21 
4/30/2010,Brenda Matthews,Kimberly Mack,Coats,Cloths,"  2,051 ",  61.53 
4/30/2010,Jennifer Johnson,Kimberly Mack,Coats,Cloths,"  2,055 ",  61.66 
4/30/2010,Kristi Shaw,Kimberly Mack,Coats,Cloths,"  2,799 ",  27.99 
4/30/2010,Sarah Parks,Brian Baldwin,Coats,Cloths,"  1,902 ",  57.06 
4/30/2010,Steven Kerr,Brian Baldwin,Coats,Cloths,"  2,054 ",  102.71 
4/30/2010,Brian Harris,Brian Baldwin,Coats,Cloths,"  2,818 ",  112.70 
4/30/2010,Kenneth Lamb,Brian Baldwin,Coats,Cloths,"  2,219 ",  66.57 
4/30/2010,David Torres,Kimberly Mack,Sweaters,Cloths,"  2,956 ",  29.56 
4/30/2010,Brenda Matthews,Kimberly Mack,Sweaters,Cloths,"  2,781 ",  27.81 
4/30/2010,Jennifer Johnson,Kimberly Mack,Sweaters,Cloths,  978 ,  68.43 
4/30/2010,Kristi Shaw,Kimberly Mack,Sweaters,Cloths,"  2,847 ",  28.47 
4/30/2010,Sarah Parks,Brian Baldwin,Sweaters,Cloths,"  3,002 ",  60.04 
4/30/2010,Steven Kerr,Brian Baldwin,Sweaters,Cloths,"  3,854 ",  192.71 
4/30/2010,Brian Harris,Brian Baldwin,Sweaters,Cloths,"  1,174 ",  93.92 
4/30/2010,Kenneth Lamb,Brian Baldwin,Sweaters,Cloths,"  3,639 ",  109.17 
4/30/2010,David Torres,Kimberly Mack,Jackets,Cloths,"  1,319 ",  13.19 
4/30/2010,Brenda Matthews,Kimberly Mack,Jackets,Cloths,"  2,835 ",  56.69 
4/30/2010,Jennifer Johnson,Kimberly Mack,Jackets,Cloths,"  1,043 ",  20.86 
4/30/2010,Kristi Shaw,Kimberly Mack,Jackets,Cloths,"  2,018 ",  20.18 
4/30/2010,Sarah Parks,Brian Baldwin,Jackets,Cloths,"  2,098 ",  20.98 
4/30/2010,Steven Kerr,Brian Baldwin,Jackets,Cloths,"  3,381 ",  101.43 
4/30/2010,Brian Harris,Brian Baldwin,Jackets,Cloths,"  3,336 ",  266.91 
4/30/2010,Kenneth Lamb,Brian Baldwin,Jackets,Cloths,"  1,191 ",  35.74 
